class;cap-shape;cap-surface;cap-color;bruises;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-color;spore-print-color;population;habitat
poisonous;convex;scaly;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;scattered;urban
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;convex;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;paths
edible;bell;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;convex;fibrous;yellow;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;sunken;fibrous;gray;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
poisonous;convex;scaly;brown;bruises;close;narrow;white;enlarging;equal;smooth;smooth;white;white;white;brown;scattered;urban
edible;convex;fibrous;yellow;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;bell;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;convex;fibrous;brown;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;black;solitary;urban
poisonous;convex;scaly;white;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;several;grasses
edible;convex;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;convex;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;paths
edible;flat;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;paths
edible;convex;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
poisonous;convex;scaly;brown;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
poisonous;convex;smooth;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;bell;scaly;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;flat;fibrous;gray;no;crowded;broad;brown;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;sunken;fibrous;gray;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;bell;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;bell;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;flat;smooth;brown;no;crowded;broad;black;tapering;equal;smooth;smooth;white;white;white;black;abundant;grasses
edible;convex;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;flat;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;fibrous;gray;no;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;flat;fibrous;yellow;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;bell;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;fibrous;yellow;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;paths
edible;bell;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;flat;smooth;yellow;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;smooth;white;bruises;crowded;narrow;brown;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;flat;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;paths
poisonous;convex;scaly;brown;bruises;close;narrow;white;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;flat;scaly;brown;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;grasses
edible;convex;smooth;brown;no;crowded;broad;black;tapering;equal;fibrous;smooth;white;white;white;brown;scattered;grasses
poisonous;convex;scaly;white;bruises;close;narrow;white;enlarging;equal;smooth;smooth;white;white;white;black;scattered;grasses
edible;flat;fibrous;gray;no;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;convex;fibrous;gray;no;crowded;broad;brown;tapering;equal;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;grasses
edible;convex;smooth;brown;no;crowded;broad;black;tapering;equal;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;flat;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;grasses
edible;sunken;fibrous;brown;no;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;convex;fibrous;brown;no;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;bell;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;smooth;brown;no;crowded;broad;brown;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
edible;convex;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;flat;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;convex;smooth;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;bell;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;fibrous;brown;no;crowded;broad;pink;tapering;equal;fibrous;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;flat;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;bell;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;grasses
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;convex;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;sunken;fibrous;gray;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;black;solitary;urban
edible;convex;fibrous;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;convex;smooth;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
poisonous;convex;scaly;white;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;convex;scaly;yellow;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;sunken;fibrous;gray;no;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;grasses
edible;convex;smooth;yellow;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;sunken;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
poisonous;convex;smooth;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;several;grasses
edible;convex;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
poisonous;flat;scaly;brown;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;black;several;grasses
edible;flat;smooth;gray;no;crowded;broad;black;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
edible;convex;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;convex;smooth;white;no;crowded;broad;brown;tapering;equal;smooth;fibrous;white;white;white;black;scattered;grasses
edible;bell;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;flat;fibrous;gray;no;crowded;broad;chocolate;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
edible;convex;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;bell;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;bell;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;smooth;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;convex;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;flat;smooth;white;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
poisonous;convex;scaly;white;bruises;close;narrow;white;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;flat;fibrous;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
poisonous;convex;smooth;brown;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;several;grasses
edible;bell;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;bell;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;sunken;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;flat;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;convex;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;fibrous;gray;no;crowded;broad;black;tapering;equal;fibrous;fibrous;white;white;white;black;scattered;grasses
edible;flat;fibrous;white;no;crowded;broad;black;tapering;equal;smooth;fibrous;white;white;white;brown;abundant;grasses
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;bell;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;bell;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;smooth;brown;no;crowded;broad;pink;tapering;equal;fibrous;smooth;white;white;white;brown;abundant;grasses
edible;convex;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;sunken;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;convex;smooth;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;convex;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;grasses
edible;bell;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;flat;scaly;brown;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;grasses
edible;convex;scaly;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;flat;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;paths
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;convex;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;grasses
edible;bell;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;fibrous;gray;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;bell;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;fibrous;yellow;bruises;crowded;narrow;brown;tapering;bulbous;smooth;smooth;white;white;white;purple;several;woods
edible;bell;scaly;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;flat;scaly;yellow;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;bell;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;bell;scaly;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;bell;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
poisonous;convex;scaly;white;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;sunken;fibrous;brown;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;flat;fibrous;brown;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;convex;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;scaly;brown;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;paths
poisonous;convex;scaly;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;fibrous;gray;no;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;bell;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;brown;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;paths
edible;convex;fibrous;white;no;crowded;broad;pink;tapering;equal;smooth;fibrous;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;smooth;yellow;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;flat;fibrous;gray;no;close;narrow;gray;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;bell;smooth;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;convex;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;flat;smooth;white;bruises;crowded;narrow;brown;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;scaly;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;fibrous;white;no;crowded;broad;chocolate;tapering;equal;fibrous;smooth;white;white;white;black;scattered;grasses
edible;flat;scaly;brown;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
poisonous;convex;smooth;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;bell;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;bell;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;bell;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;convex;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;fibrous;yellow;bruises;crowded;narrow;brown;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;fibrous;gray;no;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;flat;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;bell;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;convex;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;sunken;fibrous;gray;no;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;convex;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
poisonous;convex;smooth;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;scattered;grasses
edible;flat;fibrous;white;bruises;crowded;narrow;pink;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;scaly;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;convex;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
poisonous;convex;scaly;brown;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;bell;smooth;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;fibrous;gray;no;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;black;solitary;urban
poisonous;convex;scaly;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;scattered;urban
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;brown;solitary;paths
edible;flat;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;several;urban
edible;bell;smooth;white;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;fibrous;white;bruises;crowded;narrow;white;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;convex;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
edible;bell;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;grasses
edible;flat;scaly;yellow;bruises;close;broad;pink;enlarging;rooted;smooth;scaly;white;white;white;black;scattered;paths
edible;flat;scaly;yellow;bruises;close;broad;white;enlarging;rooted;smooth;scaly;white;white;white;black;solitary;paths
edible;convex;smooth;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;black;scattered;grasses
