class;cap-shape;cap-surface;cap-color;bruises;gill-spacing;stalk-shape;stalk-root;stalk-color-above-ring;stalk-color-below-ring;veil-color;population;habitat
edible;flat;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;scattered;paths
edible;convex;scaly;brown;bruises;close;enlarging;rooted;white;white;white;scattered;grasses
edible;convex;smooth;white;bruises;close;enlarging;club;white;white;white;scattered;grasses
poisonous;convex;scaly;brown;bruises;close;enlarging;equal;white;white;white;several;urban
poisonous;convex;smooth;white;bruises;close;enlarging;equal;white;white;white;several;urban
edible;flat;fibrous;gray;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;bell;smooth;white;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;bell;scaly;yellow;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;bell;scaly;white;bruises;close;enlarging;club;white;white;white;scattered;grasses
edible;flat;smooth;brown;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;flat;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;scattered;grasses
edible;convex;fibrous;gray;no;close;enlarging;equal;white;white;white;several;urban
edible;flat;fibrous;yellow;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;convex;scaly;brown;bruises;close;enlarging;rooted;white;white;white;scattered;paths
edible;flat;smooth;yellow;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;convex;smooth;white;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;flat;scaly;brown;bruises;close;enlarging;rooted;white;white;white;solitary;paths
edible;flat;scaly;brown;bruises;close;enlarging;rooted;white;white;white;solitary;grasses
edible;convex;smooth;brown;no;crowded;tapering;equal;white;white;white;scattered;grasses
poisonous;convex;scaly;white;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;flat;fibrous;gray;no;close;enlarging;equal;white;white;white;solitary;urban
edible;convex;fibrous;gray;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;scattered;grasses
edible;bell;smooth;white;bruises;close;enlarging;club;white;white;white;scattered;grasses
edible;sunken;fibrous;brown;no;close;enlarging;equal;white;white;white;several;urban
edible;convex;scaly;yellow;bruises;close;enlarging;club;white;white;white;scattered;grasses
edible;convex;smooth;brown;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;flat;scaly;brown;bruises;close;enlarging;rooted;white;white;white;scattered;grasses
edible;convex;scaly;white;bruises;close;enlarging;club;white;white;white;scattered;grasses
edible;convex;fibrous;brown;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;bell;smooth;yellow;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;bell;scaly;white;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;convex;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;solitary;grasses
edible;convex;fibrous;white;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;sunken;fibrous;brown;no;close;enlarging;equal;white;white;white;solitary;urban
poisonous;convex;smooth;white;bruises;close;enlarging;equal;white;white;white;several;grasses
poisonous;flat;scaly;brown;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;flat;smooth;gray;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;smooth;yellow;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;convex;smooth;white;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;smooth;white;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;flat;smooth;white;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;flat;fibrous;white;bruises;crowded;tapering;bulbous;white;white;white;several;woods
poisonous;convex;smooth;brown;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;bell;scaly;yellow;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;flat;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;solitary;paths
edible;convex;scaly;brown;bruises;close;enlarging;rooted;white;white;white;solitary;grasses
edible;convex;fibrous;gray;no;close;enlarging;equal;white;white;white;solitary;urban
edible;flat;fibrous;brown;no;close;enlarging;equal;white;white;white;several;urban
edible;flat;scaly;brown;bruises;close;enlarging;rooted;white;white;white;scattered;paths
edible;flat;fibrous;gray;no;close;enlarging;equal;white;white;white;several;urban
edible;convex;fibrous;white;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;scaly;white;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;convex;smooth;yellow;bruises;close;enlarging;club;white;white;white;scattered;grasses
poisonous;convex;smooth;white;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;flat;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;solitary;grasses
poisonous;flat;scaly;brown;bruises;close;enlarging;equal;white;white;white;scattered;urban
poisonous;flat;smooth;brown;bruises;close;enlarging;equal;white;white;white;several;urban
edible;flat;fibrous;brown;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;smooth;white;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;convex;fibrous;white;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;flat;smooth;gray;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;fibrous;gray;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;smooth;white;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;fibrous;brown;no;close;enlarging;equal;white;white;white;several;urban
poisonous;flat;smooth;brown;bruises;close;enlarging;equal;white;white;white;scattered;grasses
poisonous;convex;smooth;brown;bruises;close;enlarging;equal;white;white;white;several;urban
edible;convex;smooth;gray;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;flat;fibrous;gray;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;flat;fibrous;brown;no;crowded;tapering;equal;white;white;white;abundant;grasses
poisonous;convex;smooth;white;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;flat;smooth;white;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;gray;white;several;woods
poisonous;convex;scaly;brown;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;flat;fibrous;white;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;white;white;several;woods
poisonous;flat;scaly;brown;bruises;close;enlarging;equal;white;white;white;several;urban
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
poisonous;flat;smooth;brown;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;flat;smooth;white;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
poisonous;flat;scaly;white;bruises;close;enlarging;equal;white;white;white;several;urban
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;flat;smooth;brown;no;crowded;tapering;equal;white;white;white;scattered;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;pink;white;several;woods
poisonous;flat;scaly;white;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
poisonous;flat;scaly;white;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;gray;gray;white;several;woods
poisonous;flat;scaly;white;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
poisonous;flat;smooth;white;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
poisonous;flat;smooth;white;bruises;close;enlarging;equal;white;white;white;several;urban
poisonous;flat;smooth;white;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;white;white;several;woods
poisonous;flat;scaly;brown;bruises;close;enlarging;equal;white;white;white;scattered;grasses
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;convex;fibrous;brown;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
poisonous;flat;smooth;brown;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;white;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;brown;buff;white;solitary;grasses
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;pink;pink;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;buff;white;solitary;grasses
edible;convex;fibrous;red;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;convex;fibrous;red;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;white;white;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;brown;pink;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;pink;white;several;woods
poisonous;convex;smooth;pink;no;crowded;enlarging;bulbous;white;white;white;scattered;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;pink;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;white;gray;white;several;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;pink;gray;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;pink;white;solitary;paths
edible;flat;fibrous;red;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;white;white;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;convex;fibrous;gray;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;scaly;red;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;gray;white;solitary;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;white;white;several;woods
poisonous;convex;smooth;pink;no;crowded;enlarging;bulbous;white;white;white;several;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;convex;scaly;gray;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;pink;pink;white;solitary;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
edible;flat;fibrous;brown;bruises;close;tapering;bulbous;white;white;white;solitary;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;brown;brown;white;solitary;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;white;pink;white;several;woods
poisonous;convex;smooth;pink;no;close;enlarging;bulbous;white;white;white;several;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;gray;white;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;white;white;white;solitary;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
poisonous;convex;smooth;white;no;crowded;enlarging;bulbous;white;white;white;scattered;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;brown;buff;white;solitary;paths
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;pink;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;pink;buff;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;brown;white;solitary;woods
poisonous;convex;fibrous;pink;no;crowded;enlarging;bulbous;white;white;white;scattered;woods
poisonous;convex;fibrous;white;no;close;enlarging;bulbous;white;white;white;several;woods
edible;convex;scaly;brown;bruises;close;tapering;bulbous;gray;gray;white;solitary;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;pink;white;solitary;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;white;white;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;pink;white;several;grasses
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;brown;white;several;paths
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;pink;brown;white;several;paths
edible;flat;scaly;gray;bruises;close;tapering;bulbous;pink;white;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;pink;gray;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;white;white;white;several;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;pink;gray;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;gray;gray;white;several;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;pink;gray;white;solitary;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
poisonous;convex;fibrous;pink;no;close;enlarging;bulbous;white;white;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;pink;white;solitary;grasses
edible;flat;fibrous;red;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;scaly;gray;bruises;close;tapering;bulbous;white;pink;white;several;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;buff;pink;white;several;woods
edible;flat;fibrous;gray;bruises;close;tapering;bulbous;gray;white;white;solitary;woods
poisonous;convex;fibrous;white;no;crowded;enlarging;bulbous;white;white;white;scattered;woods
edible;flat;scaly;red;bruises;close;tapering;bulbous;white;pink;white;solitary;woods
poisonous;convex;fibrous;pink;no;crowded;enlarging;bulbous;white;white;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;pink;pink;white;several;woods
edible;flat;fibrous;red;bruises;close;tapering;bulbous;pink;pink;white;several;woods
poisonous;convex;smooth;gray;no;close;enlarging;bulbous;white;white;white;several;woods
poisonous;convex;fibrous;white;no;crowded;enlarging;bulbous;white;white;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;gray;pink;white;several;woods
edible;flat;scaly;brown;bruises;close;tapering;bulbous;gray;pink;white;solitary;woods
poisonous;convex;fibrous;gray;no;close;enlarging;bulbous;brown;pink;white;solitary;paths
edible;flat;fibrous;red;bruises;close;tapering;bulbous;pink;white;white;solitary;woods
